MES;EFETIVO;ENTRADAS;SAIDAS;CEDIDOS
202206;1559;;;156
202207;1792;234;1;154
202208;1853;62;1;154
202209;1853;2;2;153
202210;1853;0;0;153
202211;1856;6;3;155
202212;1838;0;18;158
202301;1851;14;1;137
202302;1846;5;10;131
202303;1843;4;7;142
202304;1840;2;5;150
202305;1837;0;3;155
202306;1839;6;4;167
202307;1833;16;22;171
202308;1837;6;2;171
202309;1837;0;0;182
202310;1836;1;2;185
202311;1833;1;4;189
202312;1818;1;16;189
202401;1815;6;9;190
202402;1814;3;4;193
202403;1805;3;12;195
202404;1811;9;3;195
202405;1818;13;6;198
202406;1813;2;7;197
202407;1809;5;9;198
202408;1808;3;4;198
202409;1809;13;12;199
202410;1823;23;9;201
202411;1820;1;4;201
202412;1821;2;1;201
202501;1820;1;2;202
202502;1816;1;5;200
202503;1813;1;4;203
202504;1814;3;2;205
202505;1805;2;11;203
202506;1803;1;3;203
202507;1794;0;9;203
202508;1779;0;15;199
202509;1776;0;3;198
202510;1772;1;5;196
202511;1763;1;10;193
202512;1758;1;6;194
202601;1756;1;3;194
202602;1752;0;4;193
202603;1750;0;2;195
202604;1746;0;4;192
202605;1743;0;3;185
202606;1741;0;2;183
